,PC1,PC2,PC3,PC4
253,581811428.1668576,-33430414.873682916,-112524910.74204019,28254347.56589256
254,596636058.1439575,2102083.650188121,-97380479.91146655,29968470.75052533
255,604740803.8013041,21527989.29173689,-89100896.52917092,30905595.822670132
256,576041506.6170305,-47260084.09772307,-118419302.57132523,27587190.522691518
257,565629994.824272,-72214975.24704191,-129055414.26050064,26383341.672594544
258,567093017.6555932,-68708320.66783057,-127560830.7122623,26552506.188585043
259,574755850.2522461,-50341616.85466013,-119732693.45652372,27438534.307612125
260,584308587.6844279,-27445083.90697435,-109973881.836417,28543085.9041448
261,555885861.9394999,-95570255.47187115,-139009750.1667125,25256659.649654843
262,539989016.5997192,-133672699.47502747,-155249526.47441968,23418559.7307002
263,594317267.1633567,-3455723.676041334,-99749292.46668805,29700356.579290938
264,650251836.6301504,130611366.7054628,-42608087.617979474,36167886.79715078
265,582067958.1975551,-32815549.413218513,-112262846.77741756,28284009.289244242
266,682735953.8376435,208471107.45497873,-9423214.410279773,39923918.38267481
267,701755250.6448075,254057616.98473105,10006371.716810428,42123057.09058005
268,527371947.78521067,-163913992.49341214,-168138774.0469403,21959689.579470586
269,553230375.2935969,-101935073.71495466,-141722521.67550904,24949614.46654977
270,559462251.3127657,-86998166.29843745,-135356209.9724309,25670185.785005316
271,561160760.6957037,-82927084.44106536,-133621059.8941679,25866578.836103894
272,792132985.0144588,470680002.70640683,102333758.56555109,52573137.132842265
273,590419213.181263,-12798796.493249398,-103731436.30412553,29249637.423701458
274,544121555.0629734,-123767601.19785228,-151027839.7943354,23896391.555349115
275,571285680.3447921,-58659113.298359156,-123277722.79046953,27037289.979644522
276,552217282.0864283,-104363311.92014807,-142757469.59829617,24832473.832532313
277,532234995.5937049,-152257968.7448418,-163170819.2800908,22521987.795979485
278,505255251.2714498,-216924522.09462622,-190732577.80938417,19402408.735343203
279,532935442.8259607,-150579097.8195893,-162455261.81418768,22602978.204662643
280,552228304.8611848,-104336891.91989377,-142746209.0373162,24833748.359707598
281,547217952.6991259,-116345982.94459,-147864645.84635153,24254417.825493447
282,548690996.2347711,-112815310.18332931,-146359825.42449525,24424741.00255238
283,592946434.8118054,-6741410.980392618,-101149696.7776481,29541851.745159008
284,593862327.1870298,-4546149.141078142,-100214046.52895646,29647753.366813354
285,551790400.08222,-105386486.47545181,-143193560.41442648,24783114.87101917
286,525447972.554979,-168525483.44689503,-170104253.7816106,21737226.654334903
287,552932760.3751695,-102648413.72182114,-142026556.82196647,24915202.232819974
288,569263502.2121844,-63505982.43592623,-125343523.8865967,26803472.176037546
289,547191898.8678823,-116408430.2179181,-147891261.71775904,24251405.306717396
290,537277414.0096002,-140172019.537587,-158019624.47547817,23105026.045614474
291,511630423.36245286,-201644154.67480227,-184219878.81356812,20139548.907079127
292,504844402.394159,-217909267.5586504,-191152289.6277263,19354903.631542046
293,581486757.3467424,-34208603.9720768,-112856585.44727486,28216806.947308954
294,630491007.7029761,83247511.70406733,-62795202.39282399,33883007.17024379
295,553224362.8710003,-101949484.62418336,-141728663.79968128,24948919.26991383
296,544086482.5978372,-123851664.83502433,-151063668.85199982,23892336.241614062
297,597300430.8406327,3694489.1200693212,-96701775.19059762,30045289.979395587
298,621580597.4179704,61890544.22574745,-71897830.41401243,32852725.748197287
299,551413621.5996323,-106289570.12050858,-143578466.86246666,24739549.214848783
300,530429264.6744969,-156586045.15014157,-165015503.9060684,22313197.071453117
301,587284736.868677,-20311683.83829853,-106933530.37185916,28887208.241501477
302,549892478.6832311,-109935530.15560634,-145132424.27768973,24563664.46466135
303,551716246.8702204,-105564221.02261686,-143269313.27920088,24774540.7791153
304,574845034.5207171,-50127855.03441413,-119641585.28133205,27448846.3911546
305,614711404.6037877,45426080.43088883,-78915207.27919981,32058463.585789647
306,652084623.4510179,135004292.20230317,-40735763.43324348,36379805.90659975
307,661255572.0484507,156985732.41390717,-31366976.697985224,37440212.51642532
308,608552679.7261847,30664505.74333223,-85206789.80486603,31346350.493133605
309,571762665.8706183,-57515847.83280723,-122790447.60625052,27092442.246506017
310,632307761.3969388,87602008.10962215,-60939257.20586777,34093072.42194974
311,589379064.0724176,-15291883.789975481,-104794023.7856824,29129368.40480295
312,571422762.923564,-123496981.5381164,-103127663.56829485,18105983.579005446
313,555134108.0447103,-162538536.45940396,-119767701.63446872,16222580.012275297
314,575979177.1797403,-112575914.16025764,-98472957.13415818,18632826.766819805
315,565389296.8500125,-137958328.9500556,-109291285.17373519,17408353.74970481
316,605600379.1618328,-41578168.02225346,-68212758.71914135,22057828.885093864
317,576877032.2871813,-110423885.04863207,-97555733.25797902,18736642.798551075
318,608933265.4200344,-33589720.672625445,-64807974.553771034,22443199.556453165
319,592842018.4163656,-72158117.4075399,-81246346.20966902,20582621.612771023
320,625040545.5506215,5017105.153568028,-48353223.90008439,24305631.357844815
